tarih,firma,günlük getiri,pay,fon toplamı,yatırımcı sayısı,pazar payı,Hisse Senedi,Vadeli İşlemler Nakit Teminatları,Mevduat (TL),Takasbank Para Piyasası,Ters-Repo,Finansman Bonosu,Yatırım Fonları Katılma Payları,Diğer
14/06/2022,SPN,0.0,286729642.0,562072807.31,283.0,0.36,97.25,13.51,0,0,0,0,0,0
14/06/2022,UJA,0.1495,16204002.0,20202055.19,54.0,0.01,78.02,17.52,0,4.46,0,0,0,0
14/06/2022,UZY,0.0837,234704986.0,257935553.0,230.0,0.17,36.14,17.36,0,0.27,46.23,0,0,0
14/06/2022,TCI,-0.2775,253580082.0,486545555.58,42.0,0.31,84.22,13.68,0.05,0,0,1.8,0,0.25
14/06/2022,TZP,-0.3195,96070866.0,163444808.01,11.0,0.11,81.62,17.93,0.45,0,0,0,0,0
14/06/2022,DPI,0.0,277195141.0,451658480.99,452.0,0.29,139.41,22.28,0,0,0,0,0,0
14/06/2022,ZSB,0.0354,10000000.0,10125053.14,1.0,0.01,0,0,0,98.81,1.19,0,0,0
14/06/2022,INV,-2.0422,2020000.0,2089629.77,2.0,0.0,79.26,20.74,0,0,0,0,0,0
14/06/2022,INZ,-0.066,9040253.0,9187627.51,10.0,0.01,69.65,30.28,0,0,0,0,0.07,0
tarih,firma,günlük getiri,pay,fon toplamı,yatırımcı sayısı,pazar payı,Hisse Senedi,Vadeli İşlemler Nakit Teminatları,Mevduat (TL),Takasbank Para Piyasası,Ters-Repo,Finansman Bonosu,Yatırım Fonları Katılma Payları,Diğer
21/06/2022,SPN,0.0,268379487.0,530241573.12,282.0,0.34,91.76,13.23,0,0.25,0,0,0.14,0
21/06/2022,UJA,0.181,17695602.0,22218418.04,56.0,0.01,78.01,20.06,0,1.93,0,0,0,0
21/06/2022,UZY,0.1625,215841158.0,238009538.55,199.0,0.15,46.63,18.91,0,0.19,34.27,0,0,0
21/06/2022,TCI,0.6583,197633529.0,383249537.23,42.0,0.24,83.27,14.95,0,0,0,1.48,0,0.3
21/06/2022,TZP,0.7055,95603802.0,165128933.37,11.0,0.11,77.84,21.61,0.55,0,0,0,0,0
21/06/2022,DPI,0.0,277195141.0,451658480.99,452.0,0.29,139.41,22.28,0,0,0,0,0,0
21/06/2022,ZSB,0.0367,10000000.0,10152479.78,1.0,0.01,0,0,0,98.52,1.48,0,0,0
21/06/2022,INV,-1.9252,26771310.0,26189426.39,3.0,0.02,78.5,0,0.03,8.45,0,0,13.02,0
21/06/2022,INZ,0.1647,14231830.0,14535855.27,27.0,0.01,69.54,24.66,0.07,0,0,0,5.73,0
